product_name,applicant,approval_date,te_code,appl_no
METOCLOPRAMIDE HYDROCHLORIDE,BEDFORD LABORATORIES DIV BEN VENUE LABORATORIES INC,1992-05-18,,072247
METOCLOPRAMIDE HYDROCHLORIDE,FRESENIUS KABI USA LLC,2013-04-19,,091392
METOCLOPRAMIDE HYDROCHLORIDE,HOSPIRA INC,1989-06-23,,070505
METOCLOPRAMIDE HYDROCHLORIDE,HOSPIRA INC,1989-06-22,,070506
METOCLOPRAMIDE HYDROCHLORIDE,HOSPIRA INC,1988-11-07,,070847
METOCLOPRAMIDE HYDROCHLORIDE,HOSPIRA INC,1989-03-03,,071291
METOCLOPRAMIDE HYDROCHLORIDE,HOSPIRA INC,1989-01-18,,071990
METOCLOPRAMIDE HYDROCHLORIDE,"HOSPIRA WORLDWIDE, INC",1991-01-17,,073117
METOCLOPRAMIDE HYDROCHLORIDE,HOSPIRA INC,1991-01-17,AP,073118
METOCLOPRAMIDE HYDROCHLORIDE,HOSPIRA INC,1996-08-02,,074147
METOCLOPRAMIDE HYDROCHLORIDE,LYPHOMED DIV FUJISAWA USA INC,1986-01-24,,070293
METOCLOPRAMIDE HYDROCHLORIDE,NORBROOK LABORATORIES LTD,1988-08-26,,070892
METOCLOPRAMIDE HYDROCHLORIDE,SMITH AND NEPHEW SOLOPAK DIV SMITH AND NEPHEW,1987-03-02,,070623
METOCLOPRAMIDE HYDROCHLORIDE,SMITH AND NEPHEW SOLOPAK DIV SMITH AND NEPHEW,1987-03-02,,070622
METOCLOPRAMIDE HYDROCHLORIDE,TEVA PHARMACEUTICALS USA,1991-11-27,AP,073135
METOPROLOL TARTRATE,AMERICAN REGENT INC,2009-09-30,,090386
METOPROLOL TARTRATE,BAXTER HEALTHCARE CORP,2013-04-29,AP,078950
METOPROLOL TARTRATE,FRESENIUS KABI USA LLC,2010-10-25,AP,091045
METOPROLOL TARTRATE,GLAND PHARMA LTD,2014-08-27,AP,204205
METOPROLOL TARTRATE,HIKMA PHARMACEUTICALS USA INC,2003-07-07,AP,076495
METOPROLOL TARTRATE,HIKMA FARMACEUTICA (PORTUGAL) SA,2007-05-30,AP,077761
METOPROLOL TARTRATE,HOSPIRA INC,1993-12-21,,074133
METOPROLOL TARTRATE,HOSPIRA INC,1998-07-06,,075160
METOPROLOL TARTRATE,HOSPIRA INC,2008-04-29,AP,078085
METOPROLOL TARTRATE,LUITPOLD PHARMACEUTICALS INC,2010-12-29,,091307
METOPROLOL TARTRATE,ONESOURCE SPECIALTY PTE LTD,2010-04-19,,090317
METOPROLOL TARTRATE,SANDOZ INC,2007-10-02,AP,077360
METOPROLOL TARTRATE,WATSON LABORATORIES INC,1993-12-21,,074032
METRO I.V.,B BRAUN MEDICAL INC,1982-08-31,,018674
METRO I.V. IN PLASTIC CONTAINER,B BRAUN MEDICAL INC,1983-09-29,,018900
METRONIDAZOLE,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,1983-11-18,,018889
METRONIDAZOLE,ABRAXIS PHARMACEUTICAL PRODUCTS,1984-12-03,,070071
METRONIDAZOLE,HIKMA PHARMACEUTICALS USA INC,1984-03-30,,018907
METRONIDAZOLE,INTERNATIONAL MEDICATION SYSTEMS LTD,1985-05-08,,070004
METRONIDAZOLE,WATSON LABORATORIES INC,1984-12-20,,070042
METRONIDAZOLE,WATSON LABORATORIES INC,1986-04-01,,070170
METRONIDAZOLE HYDROCHLORIDE,ABRAXIS PHARMACEUTICAL PRODUCTS,1985-10-15,,070295
METRONIDAZOLE IN PLASTIC CONTAINER,AMNEAL EU LTD,2023-05-24,AP,217665
METRONIDAZOLE IN PLASTIC CONTAINER,BAXTER HEALTHCARE CORP,2008-03-31,,078084
METRONIDAZOLE IN PLASTIC CONTAINER,GLAND PHARMA LTD,2020-08-03,AP,212435
METRONIDAZOLE IN PLASTIC CONTAINER,HOSPIRA INC,1983-11-18,AP,018890
METRONIDAZOLE IN PLASTIC CONTAINER,INFORLIFE SA,2019-02-25,AP,206191
METRONIDAZOLE IN PLASTIC CONTAINER,RISING PHARMA HOLDING INC,2017-05-09,,205531
METUBINE IODIDE,ELI LILLY AND CO,,,006632
MEXATE,BRISTOL LABORATORIES INC DIV BRISTOL MYERS CO,,,086358
MEXATE,BRISTOL LABORATORIES INC DIV BRISTOL MYERS CO,,,086358
MEXATE,BRISTOL LABORATORIES INC DIV BRISTOL MYERS CO,,,086358
MEXATE,BRISTOL LABORATORIES INC DIV BRISTOL MYERS CO,,,086358
MEXATE-AQ,BRISTOL MYERS CO,1985-02-14,,088760
MEXATE-AQ PRESERVED,BRISTOL MYERS SQUIBB,1989-04-14,,089887
MEZLIN,BAYER PHARMACEUTICALS CORP,,,062333
MEZLIN,BAYER PHARMACEUTICALS CORP,1983-01-13,,062372
MEZLIN,BAYER PHARMACEUTICALS CORP,,,050549
MEZLIN,BAYER PHARMACEUTICALS CORP,,,062333
MEZLIN,BAYER PHARMACEUTICALS CORP,1982-05-13,,062372
MEZLIN,BAYER PHARMACEUTICALS CORP,,,050549
MEZLIN,BAYER PHARMACEUTICALS CORP,,,062333
MEZLIN,BAYER PHARMACEUTICALS CORP,1982-05-13,,062372
MEZLIN,BAYER PHARMACEUTICALS CORP,1987-01-22,,062697
MEZLIN,BAYER PHARMACEUTICALS CORP,,,050549
MEZLIN,BAYER PHARMACEUTICALS CORP,,,062333
MEZLIN,BAYER PHARMACEUTICALS CORP,1982-05-13,,062372
MEZLIN,BAYER PHARMACEUTICALS CORP,1987-01-22,,062697
MEZLIN,BAYER PHARMACEUTICALS CORP,,,050549
MEZLIN,BAYER PHARMACEUTICALS CORP,1988-03-02,,062372
MEZLIN,BAYER PHARMACEUTICALS CORP,1988-03-02,,050549
MIACALCIN,MYLAN IRELAND LTD,1986-07-03,,017808
MIACALCIN,MYLAN IRELAND LTD,1991-03-29,AP,017808
MIDAZOLAM HYDROCHLORIDE,APOTHECON INC DIV BRISTOL MYERS SQUIBB,2000-11-01,,075620
MIDAZOLAM HYDROCHLORIDE,APOTHECON INC DIV BRISTOL MYERS SQUIBB,2000-11-01,,075620
MIDAZOLAM HYDROCHLORIDE,APOTHECON INC DIV BRISTOL MYERS SQUIBB,2000-10-19,,075641
MIDAZOLAM HYDROCHLORIDE,BAXTER HEALTHCARE CORP,2000-10-31,,075637
MIDAZOLAM HYDROCHLORIDE,BAXTER HEALTHCARE CORP,2000-10-31,,075637
MIDAZOLAM HYDROCHLORIDE,BEDFORD LABORATORIES DIV BEN VENUE LABORATORIES INC,2000-06-23,,075249
MIDAZOLAM HYDROCHLORIDE,BEN VENUE LABORATORIES INC,2000-06-20,,075455
MIDAZOLAM HYDROCHLORIDE,EPIC PHARMA LLC,2000-06-30,,075481
MIDAZOLAM HYDROCHLORIDE,FRESENIUS KABI USA LLC,2000-06-20,AP,075154
MIDAZOLAM HYDROCHLORIDE,FRESENIUS KABI USA LLC,2000-06-20,AP,075154
MIDAZOLAM HYDROCHLORIDE,FRESENIUS KABI USA LLC,2017-03-28,,208878
MIDAZOLAM HYDROCHLORIDE,GLAND PHARMA LTD,2012-02-29,AP,090696
MIDAZOLAM HYDROCHLORIDE,GLAND PHARMA LTD,2012-01-25,AP,090850
MIDAZOLAM HYDROCHLORIDE,HIKMA PHARMACEUTICALS USA INC,2000-06-20,AP,075243
MIDAZOLAM HYDROCHLORIDE,HIKMA PHARMACEUTICALS USA INC,2000-06-23,AP,075247
MIDAZOLAM HYDROCHLORIDE,HIKMA PHARMACEUTICALS USA INC,2000-06-20,AP,075324
MIDAZOLAM HYDROCHLORIDE,HIKMA PHARMACEUTICALS USA INC,2000-06-20,AP,075421
MIDAZOLAM HYDROCHLORIDE,HIKMA PHARMACEUTICALS USA INC,2020-12-11,AP,212847
MIDAZOLAM HYDROCHLORIDE,HIKMA PHARMACEUTICALS USA INC,2000-06-20,AP,075243
MIDAZOLAM HYDROCHLORIDE,HIKMA PHARMACEUTICALS USA INC,2000-06-23,AP,075247
MIDAZOLAM HYDROCHLORIDE,HIKMA PHARMACEUTICALS USA INC,2000-06-20,AP,075324
MIDAZOLAM HYDROCHLORIDE,HIKMA PHARMACEUTICALS USA INC,2000-06-20,AP,075421
MIDAZOLAM HYDROCHLORIDE,HIKMA PHARMACEUTICALS USA INC,2020-12-11,AP,212847
MIDAZOLAM HYDROCHLORIDE,HOSPIRA INC,2000-06-20,AP,075293
MIDAZOLAM HYDROCHLORIDE,HOSPIRA INC,2000-06-20,,075396
MIDAZOLAM HYDROCHLORIDE,HOSPIRA INC,2002-06-13,,075856
MIDAZOLAM HYDROCHLORIDE,HOSPIRA INC,2000-06-20,AP,075293
MIDAZOLAM HYDROCHLORIDE,HOSPIRA INC,2000-06-20,,075396
MIDAZOLAM HYDROCHLORIDE,HOSPIRA INC,2000-06-20,,075484
MIDAZOLAM HYDROCHLORIDE,HOSPIRA INC,2002-06-13,,075856
MIDAZOLAM HYDROCHLORIDE,HOSPIRA INC,2000-06-20,,075409
MIDAZOLAM HYDROCHLORIDE,HOSPIRA INC,2000-06-20,,075409
MIDAZOLAM HYDROCHLORIDE,IGI LABORATORIES INC,2000-06-26,,075263
MIDAZOLAM HYDROCHLORIDE,INTERNATIONAL MEDICATED SYSTEMS LTD,2005-01-26,,076144
MIDAZOLAM HYDROCHLORIDE,INTERNATIONAL MEDICATED SYSTEMS LTD,2005-01-26,,076144
MIDAZOLAM HYDROCHLORIDE,INTERNATIONAL MEDICATION SYSTEMS LTD,2004-07-16,,076020
MIDAZOLAM HYDROCHLORIDE,INTERNATIONAL MEDICATION SYSTEMS LTD,2004-07-16,,076020
MIDAZOLAM HYDROCHLORIDE,MICRO LABS LTD,2023-08-21,AP,217504
MIDAZOLAM HYDROCHLORIDE,MICRO LABS LTD,2023-08-21,AP,217504
MIDAZOLAM HYDROCHLORIDE,PH HEALTH LTD,2008-05-30,,078141
MIDAZOLAM HYDROCHLORIDE,PH HEALTH LTD,2008-11-10,,078511
MIDAZOLAM HYDROCHLORIDE,PH HEALTH LTD,2008-05-30,,078141
MIDAZOLAM HYDROCHLORIDE,PH HEALTH LTD,2008-11-10,,078511
MIDAZOLAM HYDROCHLORIDE,RISING PHARMA HOLDINGS INC,2000-06-30,AP,075494
MIDAZOLAM HYDROCHLORIDE,RISING PHARMA HOLDINGS INC,2000-06-30,AP,075494
MIDAZOLAM HYDROCHLORIDE PRESERVATIVE FREE,FRESENIUS KABI USA LLC,2014-08-22,AP,203460
MIDAZOLAM HYDROCHLORIDE PRESERVATIVE FREE,FRESENIUS KABI USA LLC,2014-08-22,AP,203460
MIDAZOLAM HYDROCHLORIDE PRESERVATIVE FREE,HOSPIRA INC,2002-07-22,AP,075857
MIDAZOLAM HYDROCHLORIDE PRESERVATIVE FREE,HOSPIRA INC,2002-07-22,AP,075857
MIDAZOLAM HYDROCHLORIDE PRESERVATIVE FREE,ONESOURCE SPECIALTY PTE LTD,2010-11-29,AP,090315
MIDAZOLAM HYDROCHLORIDE PRESERVATIVE FREE,ONESOURCE SPECIALTY PTE LTD,2010-11-29,AP,090315
MIDOZALAM HYDROCHLORIDE,ONESOURCE SPECIALTY PTE LTD,2011-05-04,AP,090316
MIDOZALAM HYDROCHLORIDE,ONESOURCE SPECIALTY PTE LTD,2011-05-04,AP,090316
MILRINONE LACTATE,BAXTER HEALTHCARE CORP,2004-09-21,,076427
MILRINONE LACTATE,CAPLIN STERILES LTD,2021-04-16,AP,214380
MILRINONE LACTATE,FRESENIUS KABI USA LLC,2002-05-28,AP,075936
MILRINONE LACTATE,GLAND PHARMA LTD,2006-10-31,,077190
MILRINONE LACTATE,HIKMA PHARMACEUTICALS USA INC,2002-05-28,AP,075530
MILRINONE LACTATE,HIKMA PHARMACEUTICALS USA INC,2002-05-28,AP,075660
MILRINONE LACTATE,HIKMA PHARMACEUTICALS USA INC,2002-05-28,,075852
MILRINONE LACTATE,HIKMA FARMACEUTICA (PORTUGAL) SA,2010-12-03,AP,077966
MILRINONE LACTATE,HOSPIRA INC,2002-05-28,,075830
MILRINONE LACTATE,"HOSPIRA WORLDWIDE, INC",2002-05-28,,075884
MILRINONE LACTATE,HOSPIRA INC,2014-09-03,AP,203280
MILRINONE LACTATE,INTERNATIONAL MEDICATED SYSTEMS LTD,2002-08-02,,076013
MILRINONE LACTATE,MEITHEAL PHARMACEUTICALS INC,2020-03-24,AP,211671
MILRINONE LACTATE,MYLAN INSTITUTIONAL LLC,2003-06-16,,076428
MILRINONE LACTATE,SHANDONG NEW TIME PHARMACEUTICAL CO LTD,2023-01-23,AP,216373
MILRINONE LACTATE IN DEXTROSE 5%,CAPLIN STERILES LTD,2025-09-02,AP,219170
MILRINONE LACTATE IN DEXTROSE 5%,CAPLIN STERILES LTD,2025-09-02,AP,219170
MILRINONE LACTATE IN DEXTROSE 5%,EUGIA PHARMA SPECIALITIES LTD,2020-09-03,AP,209666
MILRINONE LACTATE IN DEXTROSE 5%,EUGIA PHARMA SPECIALITIES LTD,2020-09-03,AP,209666
MILRINONE LACTATE IN DEXTROSE 5%,WOODWARD PHARMA SERVICES LLC,2005-07-20,,077151
MILRINONE LACTATE IN DEXTROSE 5% IN PLASTIC CONTAINER,B BRAUN MEDICAL INC,2004-08-18,,076414
MILRINONE LACTATE IN DEXTROSE 5% IN PLASTIC CONTAINER,BAXTER HEALTHCARE CORP,2002-05-28,AP,075834
MILRINONE LACTATE IN DEXTROSE 5% IN PLASTIC CONTAINER,BAXTER HEALTHCARE CORP,2002-08-08,,076259
MILRINONE LACTATE IN DEXTROSE 5% IN PLASTIC CONTAINER,BAXTER HEALTHCARE CORP,2002-05-28,AP,075834
MILRINONE LACTATE IN DEXTROSE 5% IN PLASTIC CONTAINER,GLAND PHARMA LTD,2020-07-16,AP,213585
MILRINONE LACTATE IN DEXTROSE 5% IN PLASTIC CONTAINER,GLAND PHARMA LTD,2020-07-16,AP,213585
MILRINONE LACTATE IN DEXTROSE 5% IN PLASTIC CONTAINER,HIKMA PHARMACEUTICALS USA INC,2002-05-28,,075510
MILRINONE LACTATE IN DEXTROSE 5% IN PLASTIC CONTAINER,HIKMA PHARMACEUTICALS USA INC,2008-05-21,AP,078113
MILRINONE LACTATE IN DEXTROSE 5% IN PLASTIC CONTAINER,HIKMA PHARMACEUTICALS USA INC,2008-05-21,AP,078113
MILRINONE LACTATE IN DEXTROSE 5% IN PLASTIC CONTAINER,HOSPIRA INC,2002-05-28,,075885
MILRINONE LACTATE IN DEXTROSE 5% IN PLASTIC CONTAINER,HOSPIRA INC,2002-05-28,,075885
MILRINONE LACTATE IN DEXTROSE 5% IN PLASTIC CONTAINER,WOODWARD PHARMA SERVICES LLC,2005-07-20,,077151
MILRINONE LACTATE IN PLASTIC CONTAINER,HIKMA FARMACEUTICA (PORTUGAL) SA,2010-01-21,AP,090038
MILRINONE LACTATE IN PLASTIC CONTAINER,HIKMA FARMACEUTICA (PORTUGAL) SA,2010-01-21,AP,090038
MINOCIN,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,,,062139
MINOCIN,REMPEX PHARMACEUTICALS INC A WHOLLY OWNED SUB OF MELINTA THERAPEUTICS LLC,,,050444
MIRALUMA,SHINE SPECT USA LLC,1997-05-23,,019785
MITHRACIN,PFIZER LABORATORIES DIV PFIZER INC,,,050109
MITIGO,PIRAMAL CRITICAL CARE INC,2018-07-16,AP,204393
MITIGO,PIRAMAL CRITICAL CARE INC,2018-07-16,AP,204393
MITOMYCIN,ACCORD HEALTHCARE INC,1998-04-30,AP,064144
MITOMYCIN,ACCORD HEALTHCARE INC,1998-04-30,AP,064144
MITOMYCIN,ACCORD HEALTHCARE INC,2009-08-11,AP,064144
MITOMYCIN,EUGIA PHARMA SPECIALITIES LTD,2023-10-30,,216732
MITOMYCIN,EUGIA PHARMA SPECIALITIES LTD,2023-10-30,,216732
MITOMYCIN,EUGIA PHARMA SPECIALITIES LTD,2023-10-30,,216732
MITOMYCIN,FRESENIUS KABI USA LLC,2024-04-05,AP,211269
MITOMYCIN,FRESENIUS KABI USA LLC,2024-04-05,AP,211269
MITOMYCIN,FRESENIUS KABI USA LLC,2024-04-05,AP,211269
MITOMYCIN,GLAND PHARMA LTD,2021-10-20,AP,215687
MITOMYCIN,GLAND PHARMA LTD,2021-10-20,AP,215687
MITOMYCIN,GLAND PHARMA LTD,2022-11-22,AP,216648
MITOMYCIN,HIKMA PHARMACEUTICALS USA INC,1995-04-19,,064117
MITOMYCIN,HIKMA PHARMACEUTICALS USA INC,1999-12-23,AP,064180
MITOMYCIN,HIKMA PHARMACEUTICALS USA INC,1995-04-19,AP,064117
MITOMYCIN,HIKMA PHARMACEUTICALS USA INC,1999-12-23,AP,064180
MITOMYCIN,HIKMA PHARMACEUTICALS USA INC,1999-06-02,AP,064117
MITOMYCIN,HOSPIRA INC,1995-11-29,,064106
MITOMYCIN,MEITHEAL PHARMACEUTICALS INC,2022-09-08,AP,214505
MITOMYCIN,MEITHEAL PHARMACEUTICALS INC,2022-09-08,AP,214505
MITOMYCIN,MEITHEAL PHARMACEUTICALS INC,2022-09-06,AP,214504
MITOMYCIN,RK PHARMA INC,2017-10-13,AP,202670
MITOMYCIN,RK PHARMA INC,2017-10-13,AP,202670
MITOMYCIN,RK PHARMA INC,2017-10-13,AP,203386
MITOXANTRONE HYDROCHLORIDE,FRESENIUS KABI ONCOLOGY PLC,2008-05-14,,078606
MITOXANTRONE HYDROCHLORIDE,FRESENIUS KABI ONCOLOGY PLC,2008-05-14,,078606
MITOXANTRONE HYDROCHLORIDE,FRESENIUS KABI ONCOLOGY PLC,2008-05-14,,078606
MITOXANTRONE HYDROCHLORIDE,FRESENIUS KABI USA LLC,2006-04-11,AP,077496
MITOXANTRONE HYDROCHLORIDE,FRESENIUS KABI USA LLC,2006-04-11,AP,077496
MITOXANTRONE HYDROCHLORIDE,FRESENIUS KABI USA LLC,2006-04-11,AP,077496
MITOXANTRONE HYDROCHLORIDE,HIKMA PHARMACEUTICALS USA INC,2006-04-11,AP,076611
MITOXANTRONE HYDROCHLORIDE,HIKMA PHARMACEUTICALS USA INC,2006-04-11,AP,076611
MITOXANTRONE HYDROCHLORIDE,HIKMA PHARMACEUTICALS USA INC,2006-04-11,AP,076611
MITOXANTRONE HYDROCHLORIDE,"HOSPIRA WORLDWIDE, INC",2006-04-11,AP,076871
MITOXANTRONE HYDROCHLORIDE,"HOSPIRA WORLDWIDE, INC",2006-04-11,AP,076871
MITOXANTRONE HYDROCHLORIDE,"HOSPIRA WORLDWIDE, INC",2006-04-11,AP,076871
MITOXANTRONE HYDROCHLORIDE,MEITHEAL PHARMACEUTICALS INC,2006-04-11,AP,077356
MITOXANTRONE HYDROCHLORIDE,MEITHEAL PHARMACEUTICALS INC,2006-04-11,AP,077356
MITOXANTRONE HYDROCHLORIDE,MEITHEAL PHARMACEUTICALS INC,2006-04-11,AP,077356
MITOXANTRONE HYDROCHLORIDE,RISING PHARMA HOLDINGS INC,2009-04-13,,078980
MITOXANTRONE HYDROCHLORIDE,RISING PHARMA HOLDINGS INC,2012-12-11,,201014
MITOXANTRONE HYDROCHLORIDE,RISING PHARMA HOLDINGS INC,2009-04-13,,078980
MITOZYTREX,SUPERGEN INC,2002-11-14,,050763
MIVACRON IN DEXTROSE 5% IN PLASTIC CONTAINER,ABBVIE INC,1992-01-22,,020098
MIVACRON IN DEXTROSE 5% IN PLASTIC CONTAINER,ABBVIE INC,1992-01-22,,020098
MIVACURIUM CHLORIDE,RISING PHARMA HOLDING INC,2009-04-30,,078562
MONISTAT,JANSSEN PHARMACEUTICA PRODUCTS LP,,,018040
MONOCID,GLAXOSMITHKLINE,1993-07-26,,063295
MONOCID,GLAXOSMITHKLINE,1984-05-23,,050579
MONOCID,GLAXOSMITHKLINE,1984-05-23,,050579
MONOCID,GLAXOSMITHKLINE,1984-05-23,,050579
MONOCID,GLAXOSMITHKLINE,1984-05-23,,050579
MORPHINE SULFATE,HIKMA PHARMACEUTICALS USA INC,2023-01-12,AP,211452
MORPHINE SULFATE,HIKMA PHARMACEUTICALS USA INC,2015-05-21,AP,205758
MORPHINE SULFATE,HIKMA PHARMACEUTICALS USA INC,2023-01-12,AP,211452
MORPHINE SULFATE,HIKMA PHARMACEUTICALS USA INC,2015-05-21,AP,205758
MORPHINE SULFATE,HIKMA PHARMACEUTICALS USA INC,2023-01-12,AP,211452
MORPHINE SULFATE,HIKMA PHARMACEUTICALS USA INC,2015-05-21,AP,205758
MORPHINE SULFATE,HIKMA PHARMACEUTICALS USA INC,2023-01-12,AP,211452
MORPHINE SULFATE,HIKMA PHARMACEUTICALS USA INC,2023-01-12,,211452
MORPHINE SULFATE,HOSPIRA INC,1988-05-11,,071849
MORPHINE SULFATE,HOSPIRA INC,1992-09-30,AP,073509
MORPHINE SULFATE,HOSPIRA INC,1988-05-11,,071850
MORPHINE SULFATE,HOSPIRA INC,1992-09-30,AP,073510
MORPHINE SULFATE,HOSPIRA INC,2011-11-14,AP,202515
MORPHINE SULFATE,HOSPIRA INC,2011-11-14,AP,202515
MORPHINE SULFATE,HOSPIRA INC,2011-11-14,AP,202515
MORPHINE SULFATE,HOSPIRA INC,2011-11-14,AP,202515
MORPHINE SULFATE,HOSPIRA INC,2011-11-14,,202515
MORPHINE SULFATE,HOSPIRA INC,2021-04-29,,202515
MORPHINE SULFATE,ICU MEDICAL INC,1992-10-30,,019917
MORPHINE SULFATE,ICU MEDICAL INC,1992-10-30,,019916
MORPHINE SULFATE,ICU MEDICAL INC,2006-10-27,,019916
MORPHINE SULFATE,INTERNATIONAL MEDICATION SYSTEMS LTD,2021-04-29,,202861
MORPHINE SULFATE,SPECGX LLC,1996-07-03,,020631
MORPHINE SULFATE,SPECGX LLC,1996-07-03,,020631
MORPHINE SULFATE,WATSON LABORATORIES INC,1991-09-30,,073373
MORPHINE SULFATE,WATSON LABORATORIES INC,1991-09-30,,073375
MORPHINE SULFATE,WATSON LABORATORIES INC,1991-09-30,,073374
MORPHINE SULFATE,WATSON LABORATORIES INC,1991-09-30,,073376
MOXAM,ELI LILLY AND CO,,,050550
MOXAM,ELI LILLY AND CO,,,050550
MOXAM,ELI LILLY AND CO,,,050550
MOXAM,ELI LILLY AND CO,,,050550
MOXAM,ELI LILLY AND CO,,,050550
MPI DMSA KIDNEY REAGENT,GE HEALTHCARE,1982-05-18,,017944
MPI DTPA KIT - CHELATE,GE HEALTHCARE,,,017255
MPI STANNOUS DIPHOSPHONATE,GE HEALTHCARE,,,017667
MULTIPLE ELECTROLYTES INJECTION TYPE 1 USP PH 5.5,FRESENIUS KABI USA LLC,2022-06-29,,215370
MULTIPLE ELECTROLYTES INJECTION TYPE 1 USP PH 7.4,FRESENIUS KABI USA LLC,2022-06-08,AP,215371
MUSTARGEN,RECORDATI RARE DISEASES INC,,,006695
MUTAMYCIN,BRISTOL LABORATORIES INC DIV BRISTOL MYERS CO,,,050450
MUTAMYCIN,BRISTOL LABORATORIES INC DIV BRISTOL MYERS CO,,,050450
MUTAMYCIN,BRISTOL MYERS CO,,,062336
MUTAMYCIN,BRISTOL MYERS CO,,,062336
MUTAMYCIN,BRISTOL MYERS CO,1988-03-10,,062336
MVC PLUS,WATSON LABORATORIES INC,1985-08-08,,018439
MYCHEL-S,ANGUS CHEMICAL CO,,,060132
MYCOPHENOLATE MOFETIL HYDROCHLORIDE,AMNEAL EU LTD,2021-03-05,,211374
MYCOPHENOLATE MOFETIL HYDROCHLORIDE,BPI LABS LLC,2023-06-01,AP,214283
MYCOPHENOLATE MOFETIL HYDROCHLORIDE,MEITHEAL PHARMACEUTICALS INC,2021-01-15,AP,212130
MYCOPHENOLATE MOFETIL HYDROCHLORIDE,MYLAN LABORATORIES LTD,2017-03-31,AP,203859
MYCOPHENOLATE MOFETIL HYDROCHLORIDE,ONESOURCE SPECIALTY PTE LTD,2022-12-23,AP,216390
MYCOPHENOLATE MOFETIL HYDROCHLORIDE,PH HEALTH LTD,2016-10-28,AP,203575
MYCOPHENOLATE MOFETIL HYDROCHLORIDE,RISING PHARMA HOLDINGS INC,2017-02-28,AP,204043
MYCOPHENOLATE MOFETIL HYDROCHLORIDE,ZYDUS PHARMACEUTICALS USA INC,2017-08-31,AP,204473
MYLAXEN,MEDPOINTE PHARMACEUTICALS MEDPOINTE HEALTHCARE INC,,,009789
MYOVIEW,MEDI-PHYSICS INC DBA GE HEALTHCARE,1996-02-09,,020372
MYOVIEW 30ML,MEDI-PHYSICS INC DBA GE HEALTHCARE,2005-07-07,,020372
NAFCILLIN SODIUM,ANTIBIOTICE SA,2011-10-03,AP,090560
NAFCILLIN SODIUM,ANTIBIOTICE SA,2011-10-03,AP,090560
NAFCILLIN SODIUM,APOTHECON INC DIV BRISTOL MYERS SQUIBB,,,061984
NAFCILLIN SODIUM,APOTHECON INC DIV BRISTOL MYERS SQUIBB,,,061984
NAFCILLIN SODIUM,APOTHECON INC DIV BRISTOL MYERS SQUIBB,,,061984
NAFCILLIN SODIUM,APOTHECON INC DIV BRISTOL MYERS SQUIBB,,,061984
NAFCILLIN SODIUM,EUGIA PHARMA SPECIALITIES LTD,2012-12-26,AP,091613
NAFCILLIN SODIUM,EUGIA PHARMA SPECIALITIES LTD,2012-12-26,AP,091613
NAFCILLIN SODIUM,EUGIA PHARMA SPECIALITIES LTD,2012-12-26,AP,091614
NAFCILLIN SODIUM,FRESENIUS KABI IPSUM SRL,2019-12-10,,206682
NAFCILLIN SODIUM,FRESENIUS KABI IPSUM SRL,2019-12-10,,206682
NAFCILLIN SODIUM,FRESENIUS KABI IPSUM SRL,2020-06-02,,206761
NAFCILLIN SODIUM,ISTITUTO BIOCHIMICO ITALIANO SPA,2011-06-30,AP,090002
NAFCILLIN SODIUM,ISTITUTO BIOCHIMICO ITALIANO SPA,2011-06-30,AP,090002
NAFCILLIN SODIUM,ISTITUTO BIOCHIMICO ITALIANO SPA,2011-04-20,AP,090005
NAFCILLIN SODIUM,ONESOURCE SPECIALTY PTE LTD,2014-04-07,AP,200002
NAFCILLIN SODIUM,ONESOURCE SPECIALTY PTE LTD,2014-04-07,AP,200002
NAFCILLIN SODIUM,SAGENT PHARMACEUTICALS INC,2012-08-24,AP,090582
NAFCILLIN SODIUM,SAGENT PHARMACEUTICALS INC,2012-08-24,AP,090582
NAFCILLIN SODIUM,SAGENT PHARMACEUTICALS INC,2012-08-24,AP,090580
NAFCILLIN SODIUM,SANDOZ INC,1984-08-02,,062527
NAFCILLIN SODIUM,SANDOZ INC,1986-12-23,,062732
NAFCILLIN SODIUM,SANDOZ INC,1984-08-02,,062527
NAFCILLIN SODIUM,SANDOZ INC,1986-12-23,,062732
NAFCILLIN SODIUM,SANDOZ INC,1984-08-02,,062527
NAFCILLIN SODIUM,SANDOZ INC,1984-08-02,,062527
NAFCILLIN SODIUM,WATSON LABORATORIES INC,1988-10-26,,062844
NAFCILLIN SODIUM,WATSON LABORATORIES INC,1988-10-26,,062844
NAFCILLIN SODIUM,WATSON LABORATORIES INC,1988-10-26,,062844
NAFCILLIN SODIUM,WATSON LABORATORIES INC,1988-10-26,,062844
NAFCILLIN SODIUM,WATSON LABORATORIES INC,1988-09-29,,063008
NAFCILLIN SODIUM,WATSON LABORATORIES INC,1988-10-26,,062844
NALBUPHINE HYDROCHLORIDE,ABBVIE INC,1993-03-12,,020200
NALLPEN,GLAXOSMITHKLINE,,,061999
NALLPEN,GLAXOSMITHKLINE,1986-12-19,,062755
NALLPEN,GLAXOSMITHKLINE,,,061999
NALLPEN,GLAXOSMITHKLINE,1986-12-19,,062755
NALLPEN,GLAXOSMITHKLINE,,,061999
NALLPEN,GLAXOSMITHKLINE,,,061999
NALLPEN IN PLASTIC CONTAINER,BAXTER HEALTHCARE CORP,1989-10-31,,050655
